id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
7619,1,1,2019-07-30,2019-07-30,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
7620,67,87,2019-05-29,2019-08-31,1473,17,393,0,79,0,11,1,2,2,2,3,0,0,10,41
7621,2,2,2019-04-09,2019-04-10,29,0,7,0,1,0,0,1,8,0,0,0,0,0,0,1
7622,1,3,2019-03-17,2019-03-17,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
7623,1,1,2019-05-23,2019-05-23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7624,1,1,2019-08-29,2019-08-29,1,0,37,0,0,0,2,3,0,0,0,0,0,0,0,0
7625,2,2,2018-10-24,2018-10-26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7626,143,387,2019-01-23,2019-08-29,2744,73,254,56,348,0,30,13,14,113,13,10,0,1,133,260
7627,1,1,2019-03-18,2019-03-18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7628,56,101,2019-03-20,2019-07-29,260,18,108,1,29,0,3,3,6,12,7,0,0,2,3,11
7629,1,1,2019-06-15,2019-06-15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
7630,209,420,2018-10-31,2019-06-22,1458,253,605,116,259,1,59,89,88,36,63,65,0,39,72,549
7631,1,1,2019-06-03,2019-06-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7632,1,5,2019-06-11,2019-06-11,120,11,60,0,20,0,0,2,0,0,1,0,0,0,0,15
7633,2,2,2019-06-19,2019-06-26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7634,3,3,2019-03-30,2019-04-11,18,4,15,0,0,0,0,0,0,0,0,0,0,0,0,2
7635,1,1,2019-08-18,2019-08-18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
7636,11,16,2018-10-31,2018-11-28,11,2,9,0,0,0,0,1,2,0,0,0,0,3,0,18
7637,5,8,2019-08-13,2019-08-30,51,0,2,0,0,0,0,0,0,1,0,0,0,0,0,19
7638,1,1,2019-03-05,2019-03-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7639,1,1,2019-06-19,2019-06-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7640,41,125,2019-07-19,2019-08-31,266,67,439,7,240,0,11,21,1,3,12,3,0,23,20,105
7641,1,1,2019-06-25,2019-06-25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7642,234,1119,2018-10-30,2019-09-02,6212,404,3383,45,460,0,241,21,115,157,45,58,1,45,1,1307
7643,1,1,2019-04-17,2019-04-17,9,1,8,0,3,0,0,0,0,0,1,0,0,0,0,0
7644,2,2,2019-02-02,2019-02-03,10,0,0,1,1,0,0,0,0,0,0,0,0,26,0,1
7645,1,1,2019-08-31,2019-08-31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7646,2,2,2019-04-19,2019-04-20,14,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
7647,27,32,2019-06-02,2019-08-31,96,16,68,0,14,0,4,0,0,3,2,0,0,1,0,34
7648,8,10,2019-04-23,2019-06-03,37,3,36,0,0,0,0,0,1,2,2,0,0,0,0,2
7649,10,12,2019-04-18,2019-07-03,0,0,23,0,0,0,3,0,0,0,4,0,0,2,0,0
7650,1,1,2019-05-31,2019-05-31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7651,10,13,2019-04-03,2019-08-28,20,0,47,0,5,0,0,0,0,0,0,0,0,0,0,26
7652,2,2,2019-07-11,2019-07-15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
7653,27,32,2019-01-03,2019-05-29,223,12,24,11,40,0,6,1,17,1,6,0,0,4,0,5
7654,1,1,2019-04-23,2019-04-23,6,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
7655,7,9,2019-08-25,2019-08-31,9,5,133,11,107,0,0,2,1,3,1,0,0,0,0,30
7656,1,1,2019-08-30,2019-08-30,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,6
7657,2,3,2019-07-26,2019-07-28,10,5,52,0,0,0,0,0,0,0,0,0,0,0,1,0
7658,3,3,2019-01-31,2019-02-02,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
7659,1,1,2019-06-04,2019-06-04,4,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0
7660,1,1,2019-05-24,2019-05-24,13,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0
7661,8,10,2019-03-07,2019-03-27,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
7662,1,1,2019-08-17,2019-08-17,7,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0
7663,17,27,2019-08-15,2019-08-31,249,3,156,25,163,0,5,3,1,8,0,49,0,27,0,144
7664,1,1,2019-05-03,2019-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7665,1,3,2019-01-04,2019-01-04,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0
7666,1,1,2019-07-31,2019-07-31,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7667,9,9,2018-11-05,2018-11-29,50,5,6,3,2,0,0,0,5,0,1,0,0,0,0,0
7668,1,1,2019-07-08,2019-07-08,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6
7669,21,29,2019-05-23,2019-07-09,152,4,83,0,6,0,6,0,0,1,0,2,0,24,0,37
7670,71,157,2019-01-23,2019-06-12,827,67,158,24,47,0,15,15,7,15,15,7,0,4,2,73
7671,48,200,2019-04-13,2019-08-31,1038,16,150,45,164,0,6,38,3,10,8,0,0,0,0,17
7672,67,148,2019-01-25,2019-05-16,779,33,20,30,26,0,6,0,2,2,4,1,0,0,0,8
7673,1,1,2019-08-14,2019-08-14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7674,1,3,2019-03-28,2019-03-28,16,0,26,0,4,0,0,0,7,0,0,0,0,0,0,0
7675,12,15,2019-05-14,2019-06-16,89,1,15,4,66,0,0,2,0,7,0,1,0,0,0,16
7676,3,4,2019-07-12,2019-07-16,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7677,1,2,2019-08-05,2019-08-05,3,1,78,0,0,0,0,17,1,0,0,0,0,0,0,0
7678,3,5,2019-05-23,2019-06-08,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,11
7679,1,2,2019-02-28,2019-02-28,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0
7680,1,1,2018-12-11,2018-12-11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7681,121,133,2019-03-26,2019-08-31,0,0,2,238,531,0,0,0,0,0,0,0,0,4,0,0
7682,1,2,2019-08-28,2019-08-28,0,0,17,0,0,0,7,0,0,0,0,0,0,0,0,0
